省份,年份,招生代码,大学名称,专业代码,专业名称,科类,批次,最低分,平均分,最高分,最低位次,录取人数
福建,2018,5146,清华大学,02,工科试验班类(环境、化工与新材料),理科,本一批,685,685,686,79,4
福建,2018,5146,清华大学,03,工科试验班类(能源),理科,本一批,686,689,692,69,6
福建,2018,5146,清华大学,04,工科试验班类(机械、航空与动力),理科,本一批,685,690,699,79,7
福建,2018,5146,清华大学,05,工科试验班类(自动化与工业工程),理科,本一批,686,690,694,69,8
福建,2018,5146,清华大学,07,理科试验班类(化生),理科,本一批,692,692,692,37,1
福建,2018,5146,清华大学,08,理科试验班类(经济、金融与管理),理科,本一批,698,698,698,11,1
福建,2018,5146,清华大学,09,理科试验班类(数理),理科,本一批,685,689,696,79,3
福建,2018,5146,清华大学,12,电子信息类(含:电子信息科学与技术、微电子科学与工程、车辆工程、生物医学工程),理科,本一批,693,696,701,33,5
福建,2018,5146,清华大学,13,计算机类(含:计算机科学与技术、软件工程、计算机科学与技术(计算机科学实验班)),理科,本一批,695,702,708,21,6
福建,2018,5146,清华大学,14,土木类(含:土木工程、水利科学与工程、建筑环境与能源应用工程、工程管理),理科,本一批,684,687,690,84,5
福建,2018,5146,清华大学,15,建筑类(含:建筑学、风景园林、城乡规划),理科,本一批,694,694,694,26,1
福建,2018,5146,清华大学,16,临床医学类(协和),理科,本一批,685,685,685,79,1
福建,2018,5146,清华大学,01,文科试验班类(含:汉语言文学、历史学、哲学、社会学、经济学、国际政治、国际政治(国际事务与全球治理)、心理学、英语、英语(世界文学与文化实验班)、日语、新闻学(国际新闻传播)、新闻学(融媒体传播)(招考方向;人文与社会),文科,本一批,667,668,669,15,2
福建,2018,5146,清华大学,02,文科试验班类(含:经济与金融(国际班)、会计学、信息管理与信息系统)(招考方向;经济、金融与管理),文科,本一批,672,672,672,10,1
福建,2018,5005,北京大学,02,理科试验班类,理科,本一批,694,697,705,26,4
福建,2018,5005,北京大学,05,法学,理科,本一批,690,690,690,45,1
福建,2018,5005,北京大学,07,数学类,理科,本一批,696,696,696,18,1
福建,2018,5005,北京大学,08,物理学类(含:物理学、大气科学(大气与海洋)),理科,本一批,697,697,697,14,1
福建,2018,5005,北京大学,09,化学类(含:化学、应用化学、材料化学、化学生物学),理科,本一批,686,686,686,69,1
福建,2018,5005,北京大学,13,生物科学类(含:生物科学、生物技术),理科,本一批,687,689,690,58,4
福建,2018,5005,北京大学,14,心理学类(含:心理学、应用心理学),理科,本一批,696,696,696,18,1
福建,2018,5005,北京大学,15,电子信息类(含:电子信息科学与技术、微电子科学与工程),理科,本一批,686,687,690,69,5
福建,2018,5005,北京大学,16,计算机类(含:计算机科学与技术、智能科学与技术),理科,本一批,690,695,704,45,7
福建,2018,5005,北京大学,20,工商管理类(含:金融学、经济学(金融)、会计学、市场营销),理科,本一批,691,693,697,39,4
福建,2018,5005,北京大学,03,文科试验班类(含中国语言文学类、考古学、历史学类、哲学类、社会学类、国际政治、法学、信息管理与信息系统、新闻传播学类、经济学类、工商管理类、公共管理类、艺术学理论类、数据科学与大数据技术、政治学、经济学与哲学、古生物学、整合科学、外国语言与外国历史、外国语言文学类),文科,本一批,676,676,676,6,1
福建,2018,5005,北京大学,06,经济学类(含经济学、金融学、国际经济与贸易、保险学(风险管理与保险)、财政学、资源与环境经济学),文科,本一批,674,675,675,9,2
福建,2018,5005,北京大学,07,法学,文科,本一批,674,674,674,9,1
福建,2018,5005,北京大学,08,国际政治(国政、外交学、国际政经),文科,本一批,667,669,670,15,2
福建,2018,5005,北京大学,10,中国语言文学类(含汉语言文学、汉语言、古典文献学、应用语言学),文科,本一批,687,687,687,1,1
福建,2018,5005,北京大学,11,英语,文科,本一批,666,666,666,16,1
福建,2018,5005,北京大学,12,历史学类(含历史学(中国史)、世界史、外国语言与外国历史),文科,本一批,679,679,679,5,1
福建,2018,5005,北京大学,13,考古学,文科,本一批,663,663,663,27,1
福建,2018,5005,北京大学,14,工商管理类(含金融学、经济学(金融)、会计学、市场营销),文科,本一批,680,684,686,4,3
福建,2018,5005,北京大学,15,公共管理类(含政治学与行政学、城市管理、行政管理),文科,本一批,664,665,667,23,3
福建,2018,5229,浙江大学医学院,01,医学试验班类,理科,本一批,650,654,659,872,8
福建,2018,5229,浙江大学医学院,02,医学试验班类(含:临床医学),理科,本一批,648,649,649,956,2
福建,2018,5229,浙江大学医学院,03,生物医学(浙大爱丁堡大学联合学院),理科,本一批,649,649,649,913,1
福建,2018,5229,浙江大学医学院,04,药学类(含:药学、药物制剂),理科,本一批,643,646,647,1202,6
福建,2018,5058,复旦大学医学院,03,基础医学,理科,本一批,654,657,661,706,3
福建,2018,5058,复旦大学医学院,04,临床医学,理科,本一批,655,659,662,660,5
福建,2018,5058,复旦大学医学院,05,临床医学,理科,本一批,663,666,667,429,3
福建,2018,5058,复旦大学医学院,06,临床医学,理科,本一批,668,672,677,302,3
福建,2018,5006,北京大学医学部,01,基础医学,理科,本一批,668,672,679,302,4
福建,2018,5006,北京大学医学部,02,临床医学,理科,本一批,674,683,693,193,4
福建,2018,5006,北京大学医学部,03,临床医学,理科,本一批,666,669,673,343,5
福建,2018,5006,北京大学医学部,04,口腔医学,理科,本一批,677,680,682,143,3
福建,2018,5006,北京大学医学部,05,预防医学,理科,本一批,664,665,665,399,4
福建,2018,5006,北京大学医学部,06,药学,理科,本一批,665,669,672,371,6
福建,2018,5228,浙江大学,03,社会科学试验班（含:经济学、金融学、财政学、国际经济与贸易、教育学、公共事业管理、信息管理与信息系统、会计学、工商管理、行政管理、土地资源管理、劳动与社会保障、信息资源管理、政治学与行政学、国际政治(社会学、农林经济管理),理科,本一批,663,667,670,429,4
福建,2018,5228,浙江大学,04,工科试验班(电气与自动化),理科,本一批,663,667,678,429,10
福建,2018,5228,浙江大学,06,工科试验班(含:机械工程、机械电子工程、工业工程、材料科学与工程),理科,本一批,669,669,669,283,1
福建,2018,5228,浙江大学,07,工科试验班(招者方向:信息),理科,本一批,670,673,678,272,18
福建,2018,5228,浙江大学,08,工科试验班(建筑与土木),理科,本一批,663,663,663,429,1
福建,2018,5228,浙江大学,09,工科试验班(竺可桢学院交叉创新平台),理科,本一批,675,676,678,173,4
福建,2018,5228,浙江大学,10,工科试验班(能源化工高分子),理科,本一批,663,663,663,429,1
福建,2018,5228,浙江大学,12,科技与创意设计试验班(含:数字媒体技术、工业设计),理科,本一批,667,671,675,326,3
福建,2018,5228,浙江大学,14,理科试验班类,理科,本一批,664,669,672,399,7
福建,2018,5228,浙江大学,15,医学试验班(含:临床医学),理科,本一批,669,669,669,283,1
福建,2018,5228,浙江大学,02,社会科学试验班(含:经济学、金融学、财政学、国际经济与贸易、教育学、公共事业管理、信息管理与信息系统、会计学、工商管理、行政管理、土地资源管理、劳动与社会保障、信息资源管理、政治学与行政学、国际政治、社会学、农林经济管理、法学),文科,本一批,648,649,650,137,7
福建,2018,5228,浙江大学,03,人文科学试验班(含:汉语言文学、古典文献学、编辑出版学、历史学、哲学、文物与博物馆学),文科,本一批,650,652,653,113,2
福建,2018,5228,浙江大学,04,人文科学试验班(含:新闻学、广播电视学、广告学、汉语国际教育),文科,本一批,648,648,648,137,1
福建,2018,5248,中国人民大学,02,理科试验班(环境理工、环境经管),理科,本一批,661,663,664,484,4
福建,2018,5248,中国人民大学,03,理科试验班(信息与数学),理科,本一批,661,663,666,484,7
福建,2018,5248,中国人民大学,04,理科试验班(物理、化学与心心理学),理科,本一批,661,661,661,484,3
福建,2018,5248,中国人民大学,05,经济学类(含:经济学、能源经济、国际经济与贸易、国民经济管理),理科,本一批,666,671,679,343,7
福建,2018,5248,中国人民大学,06,金融学类(含:金融学、金融工程、信用管理、保险学),理科,本一批,671,673,678,252,5
福建,2018,5248,中国人民大学,07,法学,理科,本一批,662,665,668,457,4
福建,2018,5248,中国人民大学,08,政治学、经济学与哲学(PPE实验班),理科,本一批,669,669,669,283,1
福建,2018,5248,中国人民大学,09,社会学类(含:社会学、社会工作、公共事业管理(公共政策与人口管理)),理科,本一批,662,665,669,457,4
福建,2018,5248,中国人民大学,10,新闻传播学类(含:新闻学、广播电视学、广告学、传播学),理科,本一批,663,663,663,429,3
福建,2018,5248,中国人民大学,11,统计学类(含:统计学、应用统计学、经济统计学、数据科学与大数据技术),理科,本一批,665,668,675,371,5
福建,2018,5248,中国人民大学,12,工商管理类(含:工商管理、财务管理、会计学、市场营销、贸易经济、管理科学),理科,本一批,664,666,668,399,5
福建,2018,5248,中国人民大学,13,信息资源管理,理科,本一批,661,662,663,484,2
福建,2018,5248,中国人民大学,02,人文科学试验班(含:汉语言文学、汉语言、历史学、考古学、世界史、哲学、宗教学、伦理学、马克思主义理论、中国共产党历史),文科,本一批,651,652,654,105,3
福建,2018,5248,中国人民大学,03,经济学类(含经济学、能源经济、国际经济与贸易、国民经济管理),文科,本一批,657,658,660,55,6
福建,2018,5248,中国人民大学,04,金融学类(含:金融学、金融工程、信用管理、保险学),文科,本一批,657,659,661,55,5
福建,2018,5248,中国人民大学,05,法学,文科,本一批,659,660,661,42,3
福建,2018,5248,中国人民大学,06,国际政治,文科,本一批,652,653,655,100,3
福建,2018,5248,中国人民大学,07,政治学、经济学与哲学(招考方向;PPE实验班),文科,本一批,656,656,656,62,1
福建,2018,5248,中国人民大学,08,社会学类(含:社会类、社会工作、公共事业管理)(公共政策与人口管理),文科,本一批,650,652,652,113,4
福建,2018,5248,中国人民大学,09,英语,文科,本一批,651,652,652,105,2
福建,2018,5248,中国人民大学,10,新闻传播学类(含:新闻学、广播电视学、广告学、传播学),文科,本一批,653,654,655,87,3
福建,2018,5248,中国人民大学,11,工商管理类(含:工商管理、财务管理、会计学、市场营销、贸易经济、管理科学),文科,本一批,654,655,656,80,8
福建,2018,5248,中国人民大学,12,人力资源管理,文科,本一批,652,653,655,100,3
福建,2018,5248,中国人民大学,13,公共管理类(含:行政管理、城市管理、土地资源管理),文科,本一批,652,652,653,100,3
福建,2018,5248,中国人民大学,14,信息资源管理,文科,本一批,651,652,652,105,4
福建,2018,5057,复旦大学,06,经济管理试验班,理科,本一批,680,680,680,112,3
福建,2018,5057,复旦大学,07,经济学类,理科,本一批,681,682,684,105,3
福建,2018,5057,复旦大学,08,数学类(含数学与应用数学、信息与计算科学、数据科学与大数据技术),理科,本一批,682,683,684,98,3
福建,2018,5057,复旦大学,03,经济学类(含国家公派留学计划及德国哥廷根大学、慕尼黑大学、法国巴黎政治大学等校免学费交流项目；含经济学、国际经济与贸易(国际经济学方向)、金融学、财政学、保险学)(含荷兰格罗宁根大学双学位项目),文科,本一批,661,663,664,33,4
